# Differential-oracle vectors: inputs + outputs of chrony 4.5's REAL regress.c
# (compiled from /tmp/chrony-src commit 120dfb8, gcc -O2). Section WREG ==
# RGR_WeightedRegression cases 'n x y w... | b0 b1 s2 sb0 sb1'; FBREG ==
# RGR_FindBestRegression 'n m min x y... w... | ok b0 b1 s2 sb0 sb1 best_start n_runs dof'.
# Used by regress.rs to differential-test the Rust port against the actual C.
WREG 40
3 -20.419991600296402 0.96272280031971902 0.64455827250117637 -10.450203389747237 0.96416806094797414 1.1385026568696097 -0.91005400921211466 0.96486483325337247 1.4218825463381997 | 0.96512191884956711 0.00011423591159948473 7.0759488883870769e-08 0.00030084530318370362 1.9530444316968323e-05
13 -120.55176901686578 0.60758988927013224 1.1332757296218168 -110.42260117276031 0.60743671696788804 1.0404927090083631 -100.35512651136347 0.60680720506539398 0.58214040380386589 -90.370480306975637 0.60589451428947427 1.4090753612902214 -80.004766291696441 0.60545686736990811 0.50881742791305751 -70.527964615402894 0.60494676385661283 0.77907539746789611 -60.656782626846883 0.60367749195462783 1.4077245671053458 -50.088483623390054 0.6038028756045013 0.9611564024448227 -40.144092377483176 0.60242557109452244 0.95571244713130021 -30.291062944269523 0.60184308551160126 1.0984109317119293 -20.446927764722115 0.60220106385829764 0.52504829432444711 -10.545688394283856 0.60112767885612373 1.0501741237846138 -0.76849710214129796 0.60052020002426032 0.76554902043975914 | 0.60051063463994225 -6.1067582185287883e-05 1.0547660847928238e-07 0.00016946376205823185 2.4235175297656002e-06
14 -130.02390120709546 -0.16938747824229278 0.72555745069388078 -120.60474117873292 -0.16932861727287132 0.91857288136445336 -110.14763267505077 -0.17046669861148409 1.2892174492314934 -100.3838386577216 -0.17093678227911518 0.59317986153289193 -90.650137607249576 -0.17114628503302395 0.66822202138071352 -80.931456583573961 -0.1725306190743158 1.3219724123881278 -70.78108388977742 -0.17258437199233739 0.80919032588106199 -60.992073868235956 -0.17331495415110393 0.50462465017597979 -50.224092821311743 -0.17394871862136202 0.60630663930420259 -40.555402057140846 -0.17520117957531595 0.58455239885545918 -30.103657592066018 -0.17542432170698941 1.1979028987270861 -20.169399542466877 -0.17646914687970899 0.70261384014262085 -10.316091527503827 -0.17726419104766719 1.0690508395319367 -0.40593749252346889 -0.17777948996173135 1.4385703346781233 | -0.17765229803067539 -6.7378804822484107e-05 9.5729496190445745e-08 0.00016925752962551263 2.1968127125627884e-06
4 -30.963418804689219 -0.32113266838667448 0.77460065827093971 -20.643378516705933 -0.32172291524059893 0.5811214337155407 -10.651003532111186 -0.32175610279649947 1.1568240718960934 -0.49012182226757961 -0.32192898643367551 0.90193931874648059 | -0.32202831754090311 -2.3780874866078883e-05 4.0450224744312005e-08 0.00018498191596826656 9.0790681473326144e-06
FBREG 40
12 4 3 -150.10147746221529 -0.4176160350365079 -140.04182716654307 -0.41739599438204661 -130.89506586959769 -0.41812039315485094 -120.19346989838942 -0.41917427871253166 -110.41478828967955 -0.41879822139172446 -100.17566505189454 -0.41989630905749947 -90.084361527600777 -0.41975364387301461 -80.251605020045403 -0.4205266582382553 -70.208588478564792 -0.42097546466609881 -60.426287687086514 -0.42213569542535839 -50.242930035760246 -0.42267046742443209 -40.043653636180757 -0.4229620770021239 -30.220639288298408 -0.42338811419327171 -20.539226236921643 -0.42363989412859065 -10.052717364822893 -0.42478616329172941 -0.93206983619434769 -0.4250651212618648 1.2748685213613822 0.63303062189978354 1.3600303806572824 0.73947396772392138 1.0743949436612095 1.3012524892109885 0.98363135171106975 1.1034674552616912 1.3903839709377563 0.65885055284718463 0.55825846180012684 1.105862482959397 | 1 -0.42514289799455979 -5.561293003118494e-05 8.1139214653324709e-08 0.00014815005892774262 2.3211719362358548e-06 0 7 10
4 3 1 -60.500216238009166 0.58701063199067527 -50.400153481872813 0.58675054892817868 -40.974955753817618 0.58676931425966161 -30.496438087545457 0.58618839006434242 -20.741563774513089 0.58579364597665562 -10.526223736443406 0.58600287613595881 -0.98369044997286503 0.58574231792656339 0.50048247289448911 0.89713562994994578 1.2393691893365044 1.0232566424926803 | 1 0.58572771074423369 -1.3156696214794672e-05 2.8539635088313603e-08 0.00016420052357111499 7.3738616207848132e-06 0 3 2
15 2 1 -160.84470855255137 0.29763629878775266 -150.31696685266752 0.29859618056527398 -140.72779458159755 0.29938656690980603 -130.5434946685578 0.29982755217871565 -120.89749869795502 0.30065364453029614 -110.8622113978692 0.30126530935815221 -100.77824707397555 0.30223374896179422 -90.454935913721968 0.30345074977356085 -80.952890457278713 0.30341273449543721 -70.40423935319842 0.30464973481442292 -60.406398140110063 0.30581645089220999 -50.908562071972881 0.30586928418027926 -40.594585345812071 0.30704808228963576 -30.673771422660344 0.3081812752255309 -20.322991185486853 0.3089415360927919 -10.248113724234793 0.30926142692968567 -0.42021924571101343 0.3102808220865112 0.97706631868149618 0.98472273664752608 1.255000175097932 0.68745490324993486 0.56986273089576089 1.0239149044381262 0.69424768254053182 0.72045918850566304 1.2497676612519495 1.311416998590766 1.1816979730984607 0.82701939146869918 1.0865865792185332 0.55558931981064286 1.0480853423797383 | 1 0.31028025573432627 7.9612106625599418e-05 6.9364259897141204e-08 0.00013047635406914987 1.5778012605940281e-06 0 9 13
19 4 2 -220.38926019623801 -0.35662784246089141 -210.99995753576559 -0.3563730992872795 -200.99920391666154 -0.35592185723536029 -190.42878330647528 -0.35554641812617027 -180.76965252094658 -0.35493935673154342 -170.90811327711296 -0.35488537910632934 -160.46112734900794 -0.35441722387177077 -150.88288373423168 -0.35481261411365861 -140.77091573202884 -0.35409453103783178 -130.95301395329182 -0.35400791587645924 -120.64186237987187 -0.35339393631571697 -110.61408128565478 -0.35315098258921845 -100.11616573499997 -0.35347034279212114 -90.328716488900511 -0.35253741798579102 -80.28148472844974 -0.35289239056735722 -70.57072700079992 -0.35247233509557296 -60.083348447398258 -0.35208222560941344 -50.787725170829205 -0.35206113134602718 -40.85901077710426 -0.35201964180864681 -30.218626835511643 -0.35151739597688714 -20.562652861002825 -0.35081464522348649 -10.321967969593581 -0.35117850558263281 -0.072505449930662769 -0.35080614244647684 0.59664290624720961 1.0031208181663456 0.70068924046085979 1.0930598079484919 0.59132879451757347 0.55033436535075009 1.3285333439131066 0.83346349033672007 1.4095379662893008 1.1586036991495143 1.4680797290375935 0.68979454353551151 0.67072055528886065 1.3422974460152406 0.83614218346572855 0.56407516538421332 1.1371817683174885 0.75859846232981132 1.0407748215148551 | 1 -0.35079371079402072 2.3488368082194203e-05 4.7641675647942508e-08 9.6832048627730312e-05 8.8648189990609718e-07 0 14 17
12 10 3 -210.38663868425593 -0.36429021376085002 -200.08748853488203 -0.36476330638728172 -190.93490069399874 -0.36507505245280231 -180.42123776569488 -0.3646927937175567 -170.75328012278328 -0.36473532976503609 -160.18184871895642 -0.3643735542771025 -150.42585622578611 -0.36469260558863997 -140.40682683441747 -0.36489751370531331 -130.15776361588954 -0.36464093719480128 -120.71055801725826 -0.36482889031710325 -110.14486024208671 -0.3642073397971855 -100.69299686675471 -0.36390818199850244 -90.632222552649893 -0.36441282560067945 -80.835211885421174 -0.36422247411421554 -70.03070103872102 -0.36404954315434573 -60.536715104210963 -0.36462551747301397 -50.215049941466901 -0.36450392908537022 -40.275489328458043 -0.36390490573133816 -30.38172726894831 -0.36428754397541729 -20.220057184874104 -0.36375546763487215 -10.035098708166354 -0.36438409338498667 -0.96632131390109643 -0.36427290417613545 1.4743435036691066 1.1189174540351867 0.52391363559326332 0.52994450720461372 0.51407621952637839 0.91974407327795438 1.1916129960077728 1.271758257512082 1.2529739795457968 1.0468633388300428 0.58808676295160101 0.65670887136804901 | 1 -0.36423911890566907 -1.5912265457315345e-07 6.3733692535016491e-08 0.00013767850116970314 2.1159524731246667e-06 0 8 10
6 1 1 -60.110361749592805 -0.37762364592340802 -50.849849279296393 -0.37788916619646434 -40.876242460838391 -0.37839823319338073 -30.972261575152533 -0.37833871551219944 -20.511889522373874 -0.37885008272302084 -10.546477692467809 -0.38001870479800487 -0.50489129126119714 -0.37959245089185439 0.58381321514450568 1.0825054504085956 0.74253564778951775 0.94833225249577435 1.1661995014407083 1.2287629948263974 | 1 -0.37983143812290071 -3.9107853143113816e-05 1.1559069847903478e-07 0.00027550637009059236 8.07825566296249e-06 0 4 4
12 10 2 -210.49716382128588 -0.66849980591519675 -200.18492515909878 -0.66785851592423384 -190.83776062289616 -0.66810152376693421 -180.45475557177167 -0.66835189058695088 -170.62554867098996 -0.6678618892254834 -160.29417349272686 -0.66747619021886184 -150.89481868080071 -0.66814311816581207 -140.96259344346308 -0.6674744757687936 -130.28678685330701 -0.6673612143716402 -120.53673574043404 -0.66762147730584998 -110.97586033700708 -0.6670590149721729 -100.81447938929266 -0.66743737384541835 -90.517432149021246 -0.66659853772199762 -80.645500357123652 -0.66659595083253398 -70.689092860372313 -0.666943294922827 -60.697492376368288 -0.66716374348553564 -50.965361112609465 -0.66685423831822188 -40.19878395342635 -0.66670731076640499 -30.281960924929674 -0.66666786946708634 -20.718487012279464 -0.66666970724015873 -10.360029297663997 -0.66648739744391228 -0.90726062964877763 -0.66571962739476587 1.3600869030344134 0.79360930731181145 1.0327557582516067 0.76279870401405003 0.9161040298031099 0.84859383477746608 0.78420398834150384 0.62486387926311959 1.2976704844230484 0.89648348858233473 1.4331827790246301 0.50839193724486764 | 1 -0.66615157266893732 1.0205254567681584e-05 1.1594795953126324e-07 0.00017958853720794073 2.8550612908469507e-06 0 5 10
5 0 2 -40.630307228654118 0.021830981267027098 -30.997437937767653 0.021711441187045745 -20.478265568844115 0.02057527623208491 -10.16057326261171 0.020507731943265949 -0.31593106468200927 0.0197852261275452 0.65959555525262603 0.6768626158456934 1.3561391786358739 0.74480469517758696 0.69301087747198653 | 1 0.019840129892804714 -5.2288134030033625e-05 6.01462795887533e-08 0.00018676420342373366 7.2118056253169391e-06 0 5 3
8 0 2 -70.367353166660152 0.69305888220390743 -60.864865737303823 0.69348848153849063 -50.391392198766525 0.69355669979227563 -40.188747160294355 0.69370143820749464 -30.37964237805042 0.69407791869527713 -20.404292155514497 0.69367387618879928 -10.630981885270637 0.69442410305912139 -0.045620667429028816 0.69450854821981023 0.81537467597860092 1.0538888748898971 1.2069469360378526 1.2635867081168763 0.74954986908552756 1.2500939980845445 1.2868181713869413 1.1457453073599648 | 1 0.69448813939277854 1.8836765884582653e-05 4.0868453665547252e-08 0.0001354270511027128 3.0832725507765885e-06 0 6 6
6 1 1 -60.986705311366258 0.96222994708970155 -50.512171234048189 0.96355758850683271 -40.844671088327814 0.96444475778773797 -30.731051935130289 0.96470323853361217 -20.737727672874968 0.96566995861210703 -10.1443600049446 0.96716715125502695 -0.87598291397327155 0.96750613396460272 1.3162843529741575 1.4388832339383852 0.84896471935246254 1.188850632290821 0.76182613089603424 1.1261557647987128 | 1 0.96768951439675188 8.5198704948063851e-05 1.1579608523340153e-07 0.00024450060367185131 8.488526890416919e-06 0 4 4
8 0 1 -70.115624111663678 0.98083035929782725 -60.561470884630488 0.97961563556274311 -50.03714851058627 0.97860007737648713 -40.224623479691083 0.97802612803079103 -30.633044122861161 0.97654434796484602 -20.670975032007902 0.97603538672732815 -10.348644150072387 0.97473611999191589 -0.6504234733972869 0.9743227240826865 1.1903420075365436 1.3936672581486547 0.72551347319262538 1.1243980849035395 1.1235552440693568 0.70022585742715093 1.2340113902019327 1.4588799638802117 | 1 0.97397864018757208 -9.4753333248930315e-05 5.6345562475049746e-08 0.00016409867276735653 3.9500676442208033e-06 0 7 6
12 10 3 -210.11580437629976 0.56348974139574204 -200.36981061741608 0.56424384939590033 -190.10338054878144 0.5645156981113123 -180.50289770425985 0.5644682023620563 -170.50103908618968 0.5647304684514175 -160.06300143796616 0.5652457404237653 -150.85359704321368 0.56595602042111026 -140.96939565431606 0.5665102266854235 -130.48444926386941 0.56668101090025069 -120.57237663690208 0.56654766117143751 -110.48989755240143 0.56719541103513937 -100.52021126477985 0.56768917596052226 -90.767132389968609 0.56784960237858928 -80.63003878357695 0.56853987785016513 -70.755219765244377 0.56919720664459095 -60.786781606674147 0.56867239853923612 -50.322139640511189 0.56982998976392107 -40.288943248191778 0.56985795202807821 -30.590883597741591 0.56983039685054759 -20.218349660482524 0.57058589680586647 -10.728388048347405 0.57087643788821052 -0.96175472443617738 0.57090026110993264 1.0134141101302054 1.0235221238215972 1.3781832814996147 0.56259855738615017 1.4064154671890123 1.3254261967861798 0.82276088489591004 1.488264168352962 0.87191867267575673 0.676743040234281 1.3131114128135479 0.68634976572592621 | 1 0.57113790331503178 3.3780947964956294e-05 7.1429541699477479e-08 0.00013998266054230835 2.190026167847644e-06 0 7 10
17 14 1 -300.29308857916936 0.048489514539689443 -290.96784268877798 0.048365300380039139 -280.46628965265251 0.048901164021738046 -270.73492324197741 0.049777539324490784 -260.38723880687002 0.049691098838879622 -250.25114786429307 0.050695039578012788 -240.68497201661441 0.050953406055554283 -230.23124589713629 0.051586245370094555 -220.03079337967188 0.052110098637938473 -210.61778860908214 0.051903233103561243 -200.42025354024275 0.053081531833539128 -190.87828199905073 0.052932607317628506 -180.29792372226999 0.053282433215911695 -170.37833892870074 0.054716798596805762 -160.48534568933249 0.055097217952358363 -150.24280957995632 0.055392961668318724 -140.30698354970778 0.056000194825787913 -130.53008302542037 0.056313915774310941 -120.95196807393064 0.056861362566898832 -110.24952602061578 0.056813614494584594 -100.68133108574807 0.057283077123401818 -90.699518521424409 0.058354039395298436 -80.25567177766105 0.058993909505656653 -70.418185846451223 0.059041756138587496 -60.520376860401235 0.059296775647571416 -50.241570164803385 0.059720881075647519 -40.435655360276108 0.060257755759480329 -30.59525813912024 0.061122879794816967 -20.173008288592527 0.061292733498053899 -10.407242646794796 0.061479254613063986 -0.48946628425414784 0.062851761785232205 1.4534958985822621 0.59118321990687983 0.5013020677899509 0.54667199816007883 1.2391159964211822 0.50387068386492051 0.70189107269609707 0.81198207835719582 0.61809119688169978 0.72431151715457309 1.1472080436743206 1.3491016627535601 1.3982863810777764 1.0358205584459719 1.2233617287454301 0.87987257425076515 0.91966925013896206 | 1 0.062334854780328075 4.650408926713489e-05 8.8554115574173162e-08 0.00015743461277486161 1.6103997257225839e-06 1 7 14
10 0 1 -90.662247766923713 -0.96722521926964877 -80.951148694313943 -0.9680064908071353 -70.503627849496056 -0.96830635831972633 -60.075169800336077 -0.96917529340191055 -50.37807358605518 -0.96923716192879084 -40.578099759166868 -0.96953432946285056 -30.505744155105724 -0.97051791494213335 -20.582581762993197 -0.97078419675322791 -10.219942845011394 -0.97157314565052366 -0.0036653507146340303 -0.97140791605085286 1.337338537317871 0.65408322335141333 0.82851710735256612 1.4072462539492299 1.203165010755429 1.0312200279467953 1.1653592138431641 1.0401049960109918 1.0230766115209904 0.92130292755434162 | 1 -0.97171971625320763 -4.7228130904945692e-05 5.9071203396065653e-08 0.00014257316591896781 2.5981621651233655e-06 0 7 8
15 7 2 -210.36800805825129 0.44863384853305832 -200.59069320567147 0.44805850925746615 -190.80392514845542 0.44719604657977585 -180.53357429444426 0.44571241862644628 -170.06854823215133 0.44536723072356238 -160.02464750829188 0.44480991683582211 -150.54535034254167 0.44313672401806598 -140.57904063263808 0.44259189430670248 -130.37556785141308 0.44183827721084162 -120.2192030311419 0.44133242211219853 -110.45131355868887 0.44046914709104723 -100.96308640653757 0.43985701103789976 -90.566684804136045 0.43824117967813597 -80.202959208941991 0.43824626622478746 -70.303837064572207 0.43721253792584808 -60.611149297527966 0.43582954048319661 -50.645982659651743 0.43556642153585357 -40.540736118513067 0.43475780255897689 -30.852201728577807 0.43340493560711629 -20.452339733595988 0.43248708480984138 -10.614950059250345 0.43219484509618161 -0.90732438248464342 0.43165750740534164 1.0165194549386378 1.456820577296317 1.2016219706141382 0.67254067116090555 0.56880811012082177 0.81838616162893851 1.0287861410362524 1.2013665312322086 1.3484606324465278 1.4322752810490273 1.0422785451453578 1.1731733460325491 1.3771682138090757 0.512036954182709 1.2873046316728511 | 1 0.43126221604881332 -8.2335470516243524e-05 9.2764612600238588e-08 0.00015088909551936664 1.8148450687665707e-06 0 8 13
4 1 2 -40.653196418454876 0.84221055463105043 -30.403382969102857 0.84048372899157853 -20.335479213378129 0.83983217078390526 -10.449979877579082 0.83910071642910078 -0.8224815519426153 0.8381246557603288 0.76247483811123862 0.54651239945289987 1.2705684865801439 1.0728982003429857 | 1 0.83816519394422284 -7.8878857167853907e-05 1.4675590608880416e-08 0.00011915061893772328 5.7938333707240718e-06 0 3 2
10 2 3 -110.41892818885063 0.94307326520759605 -100.8226828677923 0.94290310805043986 -90.246689160042749 0.94285512157928142 -80.246012725886345 0.94308862687602013 -70.057140620522887 0.94272501045418355 -60.062107896194298 0.94351546137333464 -50.743336350675932 0.94324596634278679 -40.517489697949259 0.94318132514077646 -30.278721119644196 0.94326365502042586 -20.158710542792971 0.94325741215348857 -10.323295354122266 0.94268204581152681 -0.98596773036898755 0.94289932452858505 0.9095052544138339 0.64135231262371084 1.1462270536230403 1.332496849724385 0.56827266482395777 1.4166132933906808 1.1517872136715785 1.4361145618856845 1.1892091194738925 0.74494891636057603 | 1 0.94303975972713339 -5.5139299786846175e-07 6.9917773498629438e-08 0.00015850042272119559 2.8333038678643609e-06 0 5 8
14 7 1 -200.72783280270278 -0.94949439514453571 -190.92039224431252 -0.95102158662438596 -180.43272432386803 -0.9513681260895418 -170.72914103776012 -0.9516915571946245 -160.08104676652925 -0.95288701364951534 -150.37041153840985 -0.95372411620511455 -140.8728100422409 -0.95452104211111766 -130.59658059526171 -0.95491828361305497 -120.24983898564071 -0.95621919689372736 -110.8399693628139 -0.95655957495334831 -100.62414848936409 -0.95733090154354772 -90.184392540132905 -0.95833687774989962 -80.649835267154913 -0.95836971866731746 -70.033341326504427 -0.95957558390234743 -60.428363445404436 -0.96067215616424062 -50.489452870564136 -0.96091484024193519 -40.130136742193699 -0.9617785732555445 -30.303684766703263 -0.96280645103824836 -20.85929667951596 -0.96296637079024106 -10.072736900757123 -0.96453412681056172 -0.17328602429753315 -0.96432715680843062 0.68439340740422616 1.0709967008281378 0.9537047133230242 0.79447939696883252 1.4730206693206016 0.94328395871015813 0.96120212394128823 0.69684881766181572 0.57198212615739474 0.71930280322553597 1.4315578861884704 1.0485186244635587 1.3331206161560296 0.81930913672940697 | 1 -0.96471863628603383 -7.3376949232755289e-05 8.6014603565449466e-08 0.0001526236561072825 1.96443479131088e-06 0 11 12
16 10 3 -250.6442745400752 -0.65686230385317068 -240.5632146597423 -0.65562278657224016 -230.08469156853076 -0.65521935881305349 -220.0145545812363 -0.6546938572047214 -210.26378845087822 -0.65366061021471933 -200.55469463637414 -0.65314721824143274 -190.43594681078699 -0.65226433886036983 -180.89922464117009 -0.65205325090527888 -170.24193853909415 -0.65130336659418764 -160.63316879308667 -0.65079728242194301 -150.83026919201237 -0.65018005660004685 -140.66987314379767 -0.64874673950333306 -130.45462332678841 -0.64844455929250711 -120.29312577195036 -0.64799884366398175 -110.29143003383865 -0.64752387320055249 -100.2694397018701 -0.64636623788173742 -90.670255392874537 -0.64548046360125311 -80.81760561560283 -0.64486647281653864 -70.176920496828785 -0.64391358317551539 -60.455069277687855 -0.6433033574007132 -50.192880183685581 -0.64263348351173266 -40.888139407066227 -0.64237141627747063 -30.900600681499782 -0.64179635758223497 -20.987513911511613 -0.64053647064176777 -10.726760676020513 -0.64003710080715148 -0.65792963270449956 -0.63980845221437688 0.88923809551093513 1.4940211509808181 1.16091036818404 1.0104335307860479 0.83639300748700007 1.1913207197080218 0.51734034153985076 1.119281594469119 0.69935007408676797 1.2784460252238246 0.621655971814423 1.1927043849995331 0.67425292161265926 1.3760786614644192 1.2919844984506581 0.62158808816512756 | 1 -0.63939380851044869 6.9451954006957074e-05 9.0715893849082978e-08 0.00014346255640941276 1.6786805705966923e-06 0 7 14
5 3 1 -70.390733667971304 0.6388044270659472 -60.397431979109889 0.6378733970707795 -50.64049887384941 0.63727817258812047 -40.645099571904545 0.63613351864759282 -30.278884010258594 0.63527806661698438 -20.140486724590794 0.63352890735739253 -10.23434167645382 0.63345105141187574 -0.11299696504709189 0.63183707647970933 0.575077271015344 1.1395636898070722 1.0370585085663917 0.88001432320558137 0.96366202452293703 | 1 0.63197824794533175 -0.00010235202658722075 1.4964316746288104e-07 0.00030791326890105164 1.1414813773986069e-05 0 5 3
10 9 3 -180.78479457291718 0.1223558588314179 -170.89511214560193 0.12242887109076381 -160.42137751678098 0.12272101453170865 -150.26458932566331 0.12308756684481623 -140.91593107011036 0.12223345711836243 -130.61584602535717 0.12208158995105514 -120.54395152605012 0.12242069534628641 -110.51702216173942 0.12248836128647703 -100.73464599118574 0.12243527575601054 -90.939165550236652 0.12277597257415888 -80.617483155949401 0.12207411251605445 -70.536456516021929 0.1223645216371255 -60.676526758619808 0.12234338989323516 -50.166458972900436 0.12215882026468951 -40.119464255818961 0.12175830369681558 -30.168443242285132 0.1217411004675174 -20.889696262013711 0.12159778048334093 -10.905535813437156 0.12241776500977374 -0.1778635412348496 0.12226224395803369 1.2647033015232196 0.86340927988375227 1.352725538690255 0.50338517787253778 0.76691404785974859 0.8383086343255729 1.458243722153906 0.93830620799866671 1.4302510605623953 0.92048260528879799 | 1 0.12191454478367683 -4.8918377600955166e-06 1.0762048615036677e-07 0.00020693652619248833 3.8195821525628825e-06 0 5 8
18 11 1 -280.14883195368719 0.22150563346469165 -270.48879544301565 0.22158786072346054 -260.72397052303393 0.22079374903679377 -250.23096442539148 0.22064812837240799 -240.67213874647251 0.22103790144255345 -230.26176966682908 0.22080054665549809 -220.2506199242334 0.22014024529088139 -210.66463248383349 0.22034425942858904 -200.73176129197913 0.22000862436569504 -190.36050405625105 0.21993531336103658 -180.86919008568157 0.21952661990356351 -170.30002892041634 0.21876626285135148 -160.02641312980541 0.21915701578917957 -150.72314873584185 0.2185278475743509 -140.60677063949342 0.21816000926756537 -130.57250509158303 0.2176184460303775 -120.22544987836638 0.21837043814106524 -110.88433325135621 0.21718318245154017 -100.18871232011615 0.21766141076282242 -90.028983991108603 0.21712912184950506 -80.551237949287156 0.21724059784266433 -70.302134099867104 0.21698238939750578 -60.72281934940294 0.21643079207364152 -50.32567428240678 0.21668328842169116 -40.394922715081194 0.21559098323788559 -30.548720566711179 0.21633660248162895 -20.915262471268804 0.21578947974413673 -10.037735342968977 0.21579934750492569 -0.51911873230254668 0.21534546593364559 1.4900258916882665 0.52470225071800847 0.63539949117384065 0.56893859606335395 1.1972748704915384 0.67114925475876064 0.58193388611084351 0.73608922499339113 0.70753809913620624 1.0140405612340799 1.1775495417384609 0.67883764283169779 1.2321078639883649 0.71273349528024865 0.77411679470709793 0.70524761321272655 0.64334482133762283 0.78176401793026684 | 1 0.21534454182682636 -2.1228617090613642e-05 1.1413168082770487e-07 0.00015372685046134485 1.5206730702999325e-06 0 13 16
11 8 1 -180.69370145207617 0.23952002328970876 -170.38725119345497 0.23932281396957408 -160.93098851434942 0.23978696318226977 -150.19493517101125 0.23964067327948207 -140.48418996113401 0.23999177507407768 -130.24368011479828 0.24054316348476923 -120.66777382575019 0.24012305554764429 -110.80254385497571 0.24109377729919865 -100.01271784450516 0.2410438591289496 -90.531229375667067 0.24096096655850577 -80.706735170330091 0.24123452101541495 -70.45988788136377 0.24158774206136957 -60.085240990174604 0.24201238246544571 -50.693556009348221 0.24228194448749088 -40.256027545622544 0.24238399695298793 -30.653421054245328 0.24245724535117244 -20.893548361427278 0.24231799764602699 -10.110429531495798 0.24345427271517456 -0.43715421404226962 0.24325079587342374 0.83202982866698227 1.0449268287364317 1.1903232624644975 0.79997457272403394 0.52739285058272289 0.77537751642908925 1.013910644889582 1.2396778651114273 1.3366484315016534 0.89266186620769861 1.4459090533743062 | 1 0.24336374079558054 2.4475530458009595e-05 5.2304267063791711e-08 0.00014242467367521369 2.3180237133445167e-06 0 6 9
7 1 3 -70.189297686234198 -0.48423831749435808 -60.585397708685221 -0.48499050449051123 -50.38069947873263 -0.48532904799891563 -40.52255624246542 -0.48543834328716662 -30.183626030096306 -0.48639849214478809 -20.353267371420539 -0.48635117036812231 -10.247800723663589 -0.48707015329428038 -0.76216337331804973 -0.48744968100337421 0.67880017780431323 0.68513880060137289 1.3861029198323289 0.63605648050770869 0.59375467420911476 1.3857868577858397 0.83055798786435986 | 1 -0.48740454514340714 -4.0936615960884649e-05 3.9860970668097607e-08 0.00014264408726801932 3.7920473900936573e-06 0 5 5
4 2 2 -50.153405102509197 0.97098897989636723 -40.707021293078597 0.9708455829218241 -30.588008636267915 0.97089561002517755 -20.375832585934138 0.97149715757731447 -10.348781433147321 0.97102550416363009 -0.6903811567540965 0.97096261560071484 0.807682371391096 1.4159019583827264 0.9468917562521949 1.2796699784758174 | 1 0.97106633151777 4.905245499567269e-07 9.3585431183281746e-08 0.00027304771387323332 1.3422151801113441e-05 0 3 2
17 5 2 -210.82176660621249 -0.079413993966981788 -200.97692009579333 -0.079992870518897377 -190.01609118436411 -0.080485406578667776 -180.48931313137572 -0.080462081350451964 -170.58823238290961 -0.081547062211778237 -160.85449319357508 -0.081954758544189085 -150.10984842763202 -0.082009126036791252 -140.5091334982194 -0.083062971834729174 -130.42721560135905 -0.083907109953218054 -120.63597501270152 -0.083877191460727848 -110.61175665584905 -0.084840467631729255 -100.21128496872853 -0.08487934347382832 -90.75925662709966 -0.086106660508218288 -80.816143892070798 -0.086465575872866587 -70.398288292789331 -0.086826151106724231 -60.792406947622183 -0.086988548929207501 -50.159894937965113 -0.087704707678912572 -40.581452050911061 -0.088343862955894248 -30.345777594557994 -0.089185166537618585 -20.375195977917755 -0.089873722395617195 -10.182504930485068 -0.090646389945226183 -0.13278248135676374 -0.091172979469939311 0.53923177740516115 0.86372204282592546 0.58792797903354443 0.94119917437982292 1.1796333264164365 1.3235349836646351 0.96852991238720809 1.2759469656433255 0.73210143725946819 0.99060729028185679 0.61631619626020662 1.290308050453985 1.3864721463163241 0.6200822776274989 1.122398229436735 0.71734008050842402 1.1202922818366907 | 1 -0.090916804259944764 -5.6777234486606478e-05 8.4997078090283172e-08 0.00013597496796004387 1.3797529173962523e-06 0 9 15
17 9 2 -250.99421262695395 0.63768879600769324 -240.45198446992291 0.63880499424796167 -230.876020834164 0.63920223177812785 -220.8321278494256 0.6404440744649984 -210.97446539270192 0.64076038829786874 -200.36608972898875 0.64236285839427687 -190.74732966862859 0.64293925015232034 -180.508155596314 0.64406247627291469 -170.2439718626905 0.6449552296426575 -160.97249473076437 0.64559141805638565 -150.18988494181312 0.64582225016269701 -140.05883348317366 0.64739188619068255 -130.88302456560618 0.64821858452417935 -120.29161255514336 0.64889679692247992 -110.32263145984955 0.64933678469086875 -100.33996590418339 0.65003298244435337 -90.723935247991577 0.65095225357117681 -80.783743857392849 0.65190873769033297 -70.919244367615008 0.65302165088067965 -60.144927171796311 0.65344235345421198 -50.486627220016182 0.65456634383613166 -40.025062744974036 0.65528697013744208 -30.050657460187207 0.65667232315885271 -20.362669170294176 0.65760746432097383 -10.460034701511528 0.65797239399705021 -0.40221732242702568 0.65927679280901685 0.51984956719163744 1.3634063028661734 0.98334342236700401 0.71658999017648783 0.96042652530459405 1.1605036618725952 0.73852511109660979 0.82394637829005035 0.64236313502743803 0.81153128055077683 0.79485175492247195 1.3027169162446366 0.72186314731500345 0.87259405144628643 0.62055361157231848 0.62908387874791705 1.3432201754544981 | 1 0.65892334706592548 8.4457618130081701e-05 9.7640658047572068e-08 0.00014465553900790254 1.5293127591990328e-06 0 9 15
